id,regime_rule
regime_FF_CultureExploitForEconomicBenefit,"Culturally prioritize the exploitation of marine resources for economic benefit and livelihoods, often assuming inherent resilience or limitless availability."
regime_TOUR_EnhanceInfrastructureServices,Direct scientific and technological development towards enhancing tourism infrastructure and services to attract more visitors and maximize convenience.
regime_TOUR_MaximizeVisitorRevenueExternalCosts,"Focus tourism businesses on maximizing visitor numbers and revenue, often externalizing environmental costs."
regime_TOUR_StimulateDevNoSpatialPlanning,"Formulate policies that primarily stimulate tourism development and economic returns, with less emphasis on comprehensive ecological spatial planning."
regime_TOUR_UnfetteredAccessNoEnvResponsibility,"Consumers expect unfettered access to natural attractions and recreational opportunities, often without strong awareness or responsibility for their environmental impact."
regime_TOUR_PromoteGrowthOverEnvConsequences,"Promote a societal narrative that tourism growth is a fundamental driver of regional prosperity, potentially overlooking or downplaying its environmental consequences."
regime_AQUA_IntensiveProductionSciTech,Invest in scientific research and technologies aimed at intensive aquaculture production to increase yields and profitability.
regime_AQUA_LargeScaleCommercialProduction,Operate aquaculture businesses with a primary focus on large-scale commercial production to meet market demand and generate economic returns.
regime_AQUA_SupportExpansionNoEnvSafeguards,"Implement policies that primarily support the expansion and economic viability of aquaculture, with less emphasis on integrated environmental planning or strict ecological safeguards."
regime_AQUA_ConsumerDemandHighVolumeProduction,"Consumers expect widely available and affordable aquaculture products, driving demand for efficient, high-volume production methods."
regime_AQUA_CultureEconomicFoodProductionNoFootprint,"View aquaculture primarily as a valuable economic opportunity and a means of food production, without widespread cultural emphasis on its long-term ecological footprint."
regime_IOER_PrioritizeEconomicOverConservation,Prioritize economic exploitation and short-term productive activities over long-term ecological conservation and social equity in ocean resource management.
regime_IOER_AdhereInternationalNoFullEmbedding,Adhere to international environmental conventions and agreements without fully embedding their objectives into comprehensive national ocean management practices.
regime_IOER_MaximizeProductiveOutputNoSustainability,Focus on maximizing productive output and economic growth in ocean-related sectors without adequate consideration for long-term ecological sustainability or broad social impacts.
regime_IOER_SciTechForExtractionEfficiency,"Apply scientific and technological advancements primarily to increase efficiency in resource extraction and exploitation, rather than for comprehensive sustainable management and conservation of ocean resources."
regime_IOER_PerceiveOceanAsCommodity,"Perceive ocean resources predominantly as commodities for human exploitation and consumption, with insufficient societal value placed on intrinsic ecosystem health or equitable access to benefits."
regime_TGLLF_GillnetReliance,Rely on specific types of gillnets as the primary technology for capturing economically valuable species in Alto Golfo fisheries.
regime_TGLLF_LonglineHandlineUse,Utilize longlines and handlines for the capture of larger marine species (sharks and rays) in Alto Golfo fisheries.
regime_TGLLF_PrioritizeHighEconomicValue,"Prioritize fishing for species based on their high economic value (e.g., shrimp, chano) in Alto Golfo fisheries."
regime_TGLLF_EstablishedTemporalRoutines,Operate fishing activities according to established temporal routines influenced by seasonal cycles in Alto Golfo fisheries.
regime_TGLLF_AllowRegulateGillnetLongline,"Historically, allow and regulate the widespread use of gillnet and longline fishing practices in the Upper Gulf of California."
regime_TGLLF_AdhereTraditionalMarketPractices,Adhere to established fishing practices focused on traditional target species for consistent market demand in Alto Golfo fisheries.
regime_TGLLF_MaintainArtisanalTechniques,"Maintain traditional or artisanal fishing techniques (e.g., ""encierro artesanal"") where applicable."
regime_TGLLF_EconomicDominanceAcceptance,Accept and rely on the economic dominance of gillnet and longline fishing as central to the region's livelihood.
regime_PFE_ManageByRegulatoryFrameworks,"Manage pelagic fisheries through established regulatory frameworks and national charts (e.g., NOM-003-PESC-1993, CNP)."
regime_PFE_RegulateByMinimumSize,Regulate pelagic fish catch based on minimum size limits and other biological indicators defined by official documents.
regime_PFE_PromoteEcoCertifications,"Promote good fishing practices for pelagic fish, particularly to maintain market-driven eco-certifications (e.g., MSC)."
regime_PFE_HighVolumeCommercialExtraction,"Focus on high-volume extraction of commercially important pelagic species that yield the largest catches (e.g., anchoveta, Monterey sardine)."
regime_PFE_PrioritizeAccessibleProductiveZones,Prioritize pelagic fishing efforts in accessible coastal areas and known productive zones characterized by high primary production.
regime_PFE_BaseKnowledgeOnExistingData,Base pelagic fish resource knowledge and exploitation on existing data and traditional survey methods.
regime_PFE_AcknowledgeStockVariability,Acknowledge pelagic fish stock variability as an inherent natural phenomenon influenced by environmental changes.
regime_PFE_ConsumerDemandDictatesFocus,Consumer and market demand dictates the primary focus on commercially valuable pelagic species.
regime_PFE_AdhereTraditionalFishingZones,"Adhere to the established practice of operating within ""traditional fishing zones"" for pelagic fish."
regime_STFM_MaximizeCaptureEfficiency,Focus on maximizing capture efficiency through traditional large-scale trawling technology in shrimp fisheries.
regime_STFM_RelianceLessSelectiveGear,"Rely on heavy, less selective trawling gear and materials, contributing to significant seabed impact and high bycatch."
regime_STFM_InsufficientBycatchReductionNetDesign,"Insufficiently integrate bycatch reduction in inherent net design, despite regulations and external innovations."
regime_STFM_PrioritizeTotalCatchVolume,Prioritize maximizing total catch volume over sustainable resource management in shrimp trawling.
regime_STFM_DiscardBycatchAtSea,"Discard bycatch at sea due to low market value, high volume, and processing challenges."
regime_STFM_CentralizedMarketLimitedInfrastructure,"Operate with centralized market distribution and limited supporting infrastructure (e.g., cold chain) for seafood."
regime_STFM_IntermediaryDominanceDecapitalization,"Dominance of intermediaries in the value chain, leading to the decapitalization of producers."
regime_STFM_DeFactoOpenAccess,"Maintain de facto open access to fishing resources (""Tragedy of the Commons""), perpetuating competition and overexploitation."
regime_STFM_ReactiveFragmentedRegulation,Operate with a reactive and fragmented regulatory framework with limited enforcement effectiveness.
regime_STFM_InadequateLaborProtection,Provide inadequate legal and social protection for fishing labor within the industry.
regime_STFM_ResistanceToNewTech,"Exhibit resistance to the adoption of new, more sustainable fishing technologies by some fishermen."
regime_STFM_ConsumerDemandNoBycatchConsideration,Operate with consumer and market demand for shrimp without strong consideration for bycatch or environmental impact.
regime_STFM_PerceptionEnvConcernsExaggerated,Hold the perception that environmental concerns regarding trawling are exaggerated or driven by external interests.
regime_STFM_EntrenchedTrawlingAcceptance,Maintain entrenched acceptance of traditional trawling as the standard method within the industry.
